Contract Account,Meterid,CoCd,OPCO
20015414335,101425495,1000,RGE
20015414350,101425503,1000,RGE
20032323345,101425509,1000,RGE
20032207118,101425518,1000,RGE
20032724096,101425525,1000,RGE
20015414434,101425532,1000,RGE
20090003482,101425539,1000,RGE
20026299246,101425547,1000,RGE
20015414632,101425554,1000,RGE
20015413618,101425570,1000,RGE
20026234938,101425579,1000,RGE
20015413717,101425592,1000,RGE
20013823826,101425599,1000,RGE
20019311909,101425614,1000,RGE
20013701477,101425621,1000,RGE
20032767822,101425694,1000,RGE
20014680399,101425713,1000,RGE
20021430507,101425832,1000,RGE
20029372180,101425838,1000,RGE
20020701528,101425891,1000,RGE
20030701740,101425897,1000,RGE
20031497389,101425950,1000,RGE
20010392973,101425959,1000,RGE
20011877881,101433706,1000,RGE
20090151364,101448708,1000,RGE
20024873463,101456305,1000,RGE
20032693705,101461800,1000,RGE
20011420666,101470991,1000,RGE
20013128937,101483868,1000,RGE
20015896390,101488293,1000,RGE
20014705832,101527736,1000,RGE
20032268102,101548568,1000,RGE
20014635070,101568415,1000,RGE
20014660888,101572823,1000,RGE
20011247069,101573768,1000,RGE
20029093224,101576244,1000,RGE
20025508613,101594609,1000,RGE
20014527418,101607723,1000,RGE
20024497875,101611290,1000,RGE
20031935735,101611299,1000,RGE
20014214884,101611306,1000,RGE
20026785822,101620660,1000,RGE
20014680308,101622455,1000,RGE
20024433227,101623896,1000,RGE
20028687711,101630890,1000,RGE
20090068725,101631251,1000,RGE
20020556880,101631635,1000,RGE
20032625509,101632229,1000,RGE
20029662317,101639642,1000,RGE
20015176371,101641197,1000,RGE
20013303357,101644394,1000,RGE
20022548018,101647745,1000,RGE
20030591067,101648455,1000,RGE
20024654269,101650402,1000,RGE
20029717178,101654376,1000,RGE
20020512842,101654539,1000,RGE
20015414673,101655114,1000,RGE
20014706327,101662595,1000,RGE
20028092938,101669048,1000,RGE
20030775017,101669265,1000,RGE
20023297078,101680926,1000,RGE
20031009788,101684903,1000,RGE
20032419549,101686017,1000,RGE
20014660979,101688535,1000,RGE
20014730384,101690411,1000,RGE
20032832311,101692712,1000,RGE
20015414657,101697844,1000,RGE
20015414616,101697964,1000,RGE
20014134645,101698106,1000,RGE
20015414533,101698403,1000,RGE
20015415118,101698805,1000,RGE
20090284017,101700065,1000,RGE
20028849568,101700118,1000,RGE
20015413634,101700252,1000,RGE
20030174781,101700344,1000,RGE
20032229302,101702048,1000,RGE
20025827302,101706601,1000,RGE
20024034066,101706609,1000,RGE
20090411685,101707588,1000,RGE
20030099939,101716616,1000,RGE
20032690826,101723260,1000,RGE
20032158519,101726042,1000,RGE
20014732893,101728636,1000,RGE
20031422346,101731010,1000,RGE
20014733230,101731176,1000,RGE
20030534190,101731327,1000,RGE
20018170165,101731334,1000,RGE
20032113647,101731350,1000,RGE
20014484545,101733094,1000,RGE
20014731853,101733818,1000,RGE
20018900983,101734692,1000,RGE
20011021084,101738624,1000,RGE
20023772518,101741444,1000,RGE
20023455981,101744334,1000,RGE
20014732984,101744511,1000,RGE
20014632259,101744520,1000,RGE
20030541187,101746168,1000,RGE
20031323056,101746246,1000,RGE
20017497197,101746444,1000,RGE
20031557067,101751387,1000,RGE
20030087520,101751434,1000,RGE
20030862997,101751562,1000,RGE
20015413824,101754182,1000,RGE
20014633430,101757310,1000,RGE
20015269796,101759094,1000,RGE
20023117508,101759308,1000,RGE
20014634560,101764707,1000,RGE
20014634867,101765100,1000,RGE
20022346504,101769951,1000,RGE
20014631731,101769996,1000,RGE
20017794601,101771732,1000,RGE
20029855531,101772982,1000,RGE
20014708083,101775370,1000,RGE
20021068166,101779192,1000,RGE
20090132133,101783674,1000,RGE
20014707317,101788125,1000,RGE
20014669061,101788395,1000,RGE
20032079087,101789233,1000,RGE
20014226169,101790407,1000,RGE
20014707713,101790982,1000,RGE
20030270407,101796847,1000,RGE
20014634677,101797140,1000,RGE
20030347023,101797144,1000,RGE
20027642139,101798515,1000,RGE
20014667867,101799136,1000,RGE
20013000938,101799253,1000,RGE
20090501303,101799709,1000,RGE
20014661464,101802190,1000,RGE
20032849869,102090476,1000,RGE
20031560780,102109751,1000,RGE
20015413576,102144575,1000,RGE
20023854613,102180699,1000,RGE
20015413659,102181153,1000,RGE
20028249520,102181154,1000,RGE
20021377914,102201313,1000,RGE
20032099127,102207885,1000,RGE
20015413691,102208111,1000,RGE
20031766114,102208466,1000,RGE
20026600922,102215529,1000,RGE
20031746306,102215632,1000,RGE
20090526094,102222964,1000,RGE
20090343706,102228110,1000,RGE
20090429802,102228337,1000,RGE
20030639528,102228380,1000,RGE
20032311274,102229597,1000,RGE
20031428244,102229600,1000,RGE
20031641721,102229601,1000,RGE
20020394381,102229602,1000,RGE
20031841115,102229603,1000,RGE
20030708356,102229623,1000,RGE
20024270165,102229690,1000,RGE
20032134809,102229691,1000,RGE
20030941411,102229692,1000,RGE
20032420042,102270689,1000,RGE
20014732794,102271153,1000,RGE
20021328438,102289668,1000,RGE
20027894888,102295449,1000,RGE
20026605301,102295502,1000,RGE
20029116231,102360912,1000,RGE
20025570480,102382902,1000,RGE
20010784922,102382976,1000,RGE
20014731473,102396723,1000,RGE
20023672767,102396856,1000,RGE
20014663841,102400662,1000,RGE
20010493367,102424935,1000,RGE
20010649885,102434909,1000,RGE
20014668709,102468593,1000,RGE
20015420399,102501961,1000,RGE
20011379730,102519555,1000,RGE
20031133141,102566665,1000,RGE
20015414798,102593908,1000,RGE
20090412238,102615029,1000,RGE
20014667115,102623114,1000,RGE
20020494991,102645139,1000,RGE
20014668808,102691390,1000,RGE
20027763075,102699960,1000,RGE
20015414475,102732606,1000,RGE
20030919474,102752275,1000,RGE
20014680472,102755216,1000,RGE
20014632853,102758098,1000,RGE
20015414418,102823861,1000,RGE
20030708521,102827389,1000,RGE
20026895571,102868725,1000,RGE
20015414459,102868940,1000,RGE
20015415134,102870873,1000,RGE
20031779802,102886254,1000,RGE
20021282205,102886532,1000,RGE
20090197292,102900916,1000,RGE
20090199223,102900919,1000,RGE
20090197557,102900920,1000,RGE
20090198530,102900924,1000,RGE
20090197946,102900925,1000,RGE
20090197243,102900926,1000,RGE
20090313956,102900927,1000,RGE
20090197979,102900929,1000,RGE
20090198084,102900930,1000,RGE
20090193804,102900931,1000,RGE
20090199249,102900932,1000,RGE
20090375260,102900933,1000,RGE
20090209139,102900934,1000,RGE
20090375286,102900935,1000,RGE
20090198019,102900942,1000,RGE
20090199009,102900943,1000,RGE
20090225184,102900944,1000,RGE
20090188085,102900946,1000,RGE
20090198381,102900947,1000,RGE
20090197912,102900949,1000,RGE
20090225168,102900959,1000,RGE
20090197920,102900962,1000,RGE
20090197821,102900964,1000,RGE
20090313980,102900968,1000,RGE
20013772007,102900970,1000,RGE
20090225333,102900971,1000,RGE
20090313972,102900972,1000,RGE
20090186030,102900975,1000,RGE
20090198365,102901158,1000,RGE
20090197276,102901162,1000,RGE
20090375278,102901165,1000,RGE
20090188093,102901166,1000,RGE
20090313964,102901167,1000,RGE
20090188044,102901168,1000,RGE
20090198001,102901170,1000,RGE
20090375252,102901171,1000,RGE
20090199280,102901172,1000,RGE
20090188515,102901173,1000,RGE
20090199272,102901174,1000,RGE
20090199298,102901175,1000,RGE
20090198092,102901176,1000,RGE
20090197250,102901177,1000,RGE
20090187210,102901178,1000,RGE
20090225309,102901179,1000,RGE
20090199264,102901180,1000,RGE
20090225143,102901187,1000,RGE
20090225317,102901189,1000,RGE
20090198027,102901193,1000,RGE
20090199256,102901194,1000,RGE
20090198316,102901196,1000,RGE
20090198043,102901201,1000,RGE
20090225325,102901209,1000,RGE
20090540285,102901209,1000,RGE
20090197284,102901213,1000,RGE
20014669780,102901241,1000,RGE
20090197532,102905816,1000,RGE
20090197953,102905819,1000,RGE
20090197896,102905822,1000,RGE
20090186097,102905827,1000,RGE
20090197961,102905831,1000,RGE
20090208776,102905832,1000,RGE
20090197599,102905839,1000,RGE
20090197268,102905840,1000,RGE
20090197540,102905841,1000,RGE
20090189174,102905842,1000,RGE
20090186139,102905847,1000,RGE
20090186972,102905851,1000,RGE
20090197524,102905857,1000,RGE
20090186956,102905864,1000,RGE
20090197904,102905868,1000,RGE
20090225341,102905870,1000,RGE
20090313949,102905937,1000,RGE
20090459056,102905941,1000,RGE
20090198076,102905945,1000,RGE
20090197581,102905951,1000,RGE
20090197698,102905960,1000,RGE
20090197805,102905962,1000,RGE
20090198555,102905966,1000,RGE
20090313931,102905970,1000,RGE
20090208727,102905971,1000,RGE
20090197573,102905975,1000,RGE
20090186964,102905976,1000,RGE
20090500578,102905983,1000,RGE
20090186642,102905985,1000,RGE
20090197813,102905987,1000,RGE
20090198506,102905988,1000,RGE
20090197714,102905989,1000,RGE
20010143624,102917022,1000,RGE
20014635690,102917064,1000,RGE
20032302612,102917838,1000,RGE
20090117324,103053842,1000,RGE
20090267376,103061614,1000,RGE
20032046656,103061615,1000,RGE
20090262963,103061616,1000,RGE
20032202648,103061617,1000,RGE
20032213553,103061618,1000,RGE
20032221465,103061619,1000,RGE
20032230904,103061620,1000,RGE
20032322727,103061636,1000,RGE
20032011551,103061637,1000,RGE
20032011569,103061638,1000,RGE
20032011395,103061639,1000,RGE
20032065763,103061661,1000,RGE
20032270611,103061662,1000,RGE
20032033845,103061664,1000,RGE
20032202697,103061666,1000,RGE
20032305516,103061667,1000,RGE
20090489855,103061668,1000,RGE
20032221473,103061706,1000,RGE
20032224907,103061708,1000,RGE
20032712364,103061723,1000,RGE
20032019935,103061724,1000,RGE
20032134825,103063182,1000,RGE
20090222900,103063183,1000,RGE
20032177477,103063184,1000,RGE
20090405299,103063185,1000,RGE
20032134908,103063186,1000,RGE
20032134833,103063187,1000,RGE
20090126218,103063188,1000,RGE
20090462811,103063212,1000,RGE
20032521930,103063230,1000,RGE
20090431105,103063232,1000,RGE
20090488832,103063233,1000,RGE
20032579045,103063234,1000,RGE
20090476373,103063235,1000,RGE
20090401520,103063259,1000,RGE
