Contract Account,Meterid,CoCd,OPCO,ApprovedDate
10035910388,102969760,1160,NYSEG,1999-01-01
10052741260,102969762,1160,NYSEG,1999-01-01
10031192353,102969763,1160,NYSEG,1999-01-01
10010283827,102969764,1160,NYSEG,1999-01-01
10090002188,102969765,1160,NYSEG,1999-01-01
10010806478,102969766,1160,NYSEG,1999-01-01
10049448912,102969767,1160,NYSEG,1999-01-01
10031719064,102969768,1160,NYSEG,1999-01-01
10090431965,102969769,1160,NYSEG,1999-01-01
10016595539,102969774,1160,NYSEG,1999-01-01
10016544321,102969775,1160,NYSEG,1999-01-01
10052911350,102969777,1160,NYSEG,1999-01-01
10053958368,102969778,1160,NYSEG,1999-01-01
10090829630,102969779,1160,NYSEG,1999-01-01
10090563528,102969780,1160,NYSEG,1999-01-01
10054075790,102969781,1160,NYSEG,1999-01-01
10043228146,102969782,1160,NYSEG,1999-01-01
10010282332,102969783,1160,NYSEG,1999-01-01
10040972779,102969784,1160,NYSEG,1999-01-01
10090231159,102969785,1160,NYSEG,1999-01-01
10090465823,102969786,1160,NYSEG,1999-01-01
10090266908,102969787,1160,NYSEG,1999-01-01
10037127189,102969788,1160,NYSEG,1999-01-01
10010282290,102969789,1160,NYSEG,1999-01-01
10053695317,102969790,1160,NYSEG,1999-01-01
10052531885,102969791,1160,NYSEG,1999-01-01
10052246930,102969792,1160,NYSEG,1999-01-01
10048182587,102969793,1160,NYSEG,1999-01-01
10047756928,102969795,1160,NYSEG,1999-01-01
10050421220,102969796,1160,NYSEG,1999-01-01
10047523757,102969797,1160,NYSEG,1999-01-01
10042574813,102969798,1160,NYSEG,1999-01-01
10010910544,102969799,1160,NYSEG,1999-01-01
10033062877,102969800,1160,NYSEG,1999-01-01
10010910551,102969801,1160,NYSEG,1999-01-01
10010910619,102969802,1160,NYSEG,1999-01-01
10041601682,102969803,1160,NYSEG,1999-01-01
10010910601,102969804,1160,NYSEG,1999-01-01
10054064398,102969805,1160,NYSEG,1999-01-01
10042613967,102969806,1160,NYSEG,1999-01-01
10012480066,102969807,1160,NYSEG,1999-01-01
10025763045,102969808,1160,NYSEG,1999-01-01
10039560726,102969809,1160,NYSEG,1999-01-01
10046550512,102969810,1160,NYSEG,1999-01-01
10010282654,102969811,1160,NYSEG,1999-01-01
10042252626,102969812,1160,NYSEG,1999-01-01
10010283504,102969813,1160,NYSEG,1999-01-01
10016598699,102969818,1160,NYSEG,1999-01-01
10010282860,102969819,1160,NYSEG,1999-01-01
10037561213,102969820,1160,NYSEG,1999-01-01
10090320416,102969821,1160,NYSEG,1999-01-01
10053257720,102969822,1160,NYSEG,1999-01-01
10018464437,102969823,1160,NYSEG,1999-01-01
10018461706,102969824,1160,NYSEG,1999-01-01
10035312783,102969825,1160,NYSEG,1999-01-01
10010807484,102969826,1160,NYSEG,1999-01-01
10053902754,102969827,1160,NYSEG,1999-01-01
10043692341,102969829,1160,NYSEG,1999-01-01
10053999693,102969830,1160,NYSEG,1999-01-01
10010283173,102969831,1160,NYSEG,1999-01-01
10050086478,102969833,1160,NYSEG,1999-01-01
10033932905,102969834,1160,NYSEG,1999-01-01
10048347024,102969835,1160,NYSEG,1999-01-01
10051346491,102969836,1160,NYSEG,1999-01-01
10054036024,102969837,1160,NYSEG,1999-01-01
10010807856,102969838,1160,NYSEG,1999-01-01
10042715945,102969840,1160,NYSEG,1999-01-01
10045993754,102969842,1160,NYSEG,1999-01-01
10045122941,102969843,1160,NYSEG,1999-01-01
10090191932,102969844,1160,NYSEG,1999-01-01
10051234911,102969845,1160,NYSEG,1999-01-01
10010282811,102969850,1160,NYSEG,1999-01-01
10044824992,102969851,1160,NYSEG,1999-01-01
10090604983,102969852,1160,NYSEG,1999-01-01
10010282803,102969853,1160,NYSEG,1999-01-01
10053802566,102969855,1160,NYSEG,1999-01-01
10029551958,102969856,1160,NYSEG,1999-01-01
10038916291,102969857,1160,NYSEG,1999-01-01
10090624700,102969858,1160,NYSEG,1999-01-01
10046129259,102969859,1160,NYSEG,1999-01-01
10035033405,102969860,1160,NYSEG,1999-01-01
10012551957,102969861,1160,NYSEG,1999-01-01
10042081611,102969862,1160,NYSEG,1999-01-01
10010807823,102969863,1160,NYSEG,1999-01-01
10010807757,102969864,1160,NYSEG,1999-01-01
10049894610,102969865,1160,NYSEG,1999-01-01
10040911231,102969867,1160,NYSEG,1999-01-01
10051960689,102969868,1160,NYSEG,1999-01-01
10090907618,102969869,1160,NYSEG,1999-01-01
10010853108,102969870,1160,NYSEG,1999-01-01
10010853116,102969871,1160,NYSEG,1999-01-01
10010850898,102969872,1160,NYSEG,1999-01-01
10010852787,102969873,1160,NYSEG,1999-01-01
10012551577,102969875,1160,NYSEG,1999-01-01
10052180071,102969877,1160,NYSEG,1999-01-01
10043022986,102969879,1160,NYSEG,1999-01-01
10012481668,102969880,1160,NYSEG,1999-01-01
10012551395,102969881,1160,NYSEG,1999-01-01
10012551965,102969882,1160,NYSEG,1999-01-01
10024895137,102969883,1160,NYSEG,1999-01-01
10012551866,102969885,1160,NYSEG,1999-01-01
10050030567,102969886,1160,NYSEG,1999-01-01
10047907810,102969887,1160,NYSEG,1999-01-01
10050583466,102969888,1160,NYSEG,1999-01-01
10010807161,102969889,1160,NYSEG,1999-01-01
10051502093,102969890,1160,NYSEG,1999-01-01
10042118660,102969891,1160,NYSEG,1999-01-01
10052562229,102969892,1160,NYSEG,1999-01-01
10053403217,102969893,1160,NYSEG,1999-01-01
10045346326,102969894,1160,NYSEG,1999-01-01
10053650650,102969895,1160,NYSEG,1999-01-01
10047219182,102969896,1160,NYSEG,1999-01-01
10026579234,102969897,1160,NYSEG,1999-01-01
10052641965,102969898,1160,NYSEG,1999-01-01
10010302346,102969899,1160,NYSEG,1999-01-01
10051398039,102969900,1160,NYSEG,1999-01-01
10052186581,102969901,1160,NYSEG,1999-01-01
10045132346,102969906,1160,NYSEG,1999-01-01
10050722353,102969907,1160,NYSEG,1999-01-01
10010283140,102969908,1160,NYSEG,1999-01-01
10090821215,102969909,1160,NYSEG,1999-01-01
10054084313,102969910,1160,NYSEG,1999-01-01
10012551874,102969911,1160,NYSEG,1999-01-01
10010282514,102969914,1160,NYSEG,1999-01-01
10010282522,102969915,1160,NYSEG,1999-01-01
10010282456,102969916,1160,NYSEG,1999-01-01
10010282415,102969917,1160,NYSEG,1999-01-01
10026005222,102969918,1160,NYSEG,1999-01-01
10028825635,102969919,1160,NYSEG,1999-01-01
